152,http://www.Department0.University0.edu/AssociateProfessor11,AssociateProfessor11,AssociateProfessor11@Department0.University0.edu,xxx-xxx-xxxx,Research15
1669,http://www.Department1.University0.edu/AssociateProfessor9,AssociateProfessor9,AssociateProfessor9@Department1.University0.edu,xxx-xxx-xxxx,Research27
4043,http://www.Department11.University0.edu/AssociateProfessor0,AssociateProfessor0,AssociateProfessor0@Department11.University0.edu,xxx-xxx-xxxx,Research7
4111,http://www.Department11.University0.edu/AssociateProfessor12,AssociateProfessor12,AssociateProfessor12@Department11.University0.edu,xxx-xxx-xxxx,Research2
5356,http://www.Department12.University0.edu/AssociateProfessor10,AssociateProfessor10,AssociateProfessor10@Department12.University0.edu,xxx-xxx-xxxx,Research13
6461,http://www.Department13.University0.edu/AssociateProfessor11,AssociateProfessor11,AssociateProfessor11@Department13.University0.edu,xxx-xxx-xxxx,Research2
7690,http://www.Department14.University0.edu/AssociateProfessor9,AssociateProfessor9,AssociateProfessor9@Department14.University0.edu,xxx-xxx-xxxx,Research0
8619,http://www.Department2.University0.edu/AssociateProfessor9,AssociateProfessor9,AssociateProfessor9@Department2.University0.edu,xxx-xxx-xxxx,Research9
9681,http://www.Department3.University0.edu/AssociateProfessor9,AssociateProfessor9,AssociateProfessor9@Department3.University0.edu,xxx-xxx-xxxx,Research17
10769,http://www.Department4.University0.edu/AssociateProfessor9,AssociateProfessor9,AssociateProfessor9@Department4.University0.edu,xxx-xxx-xxxx,Research14
12946,http://www.Department6.University0.edu/AssociateProfessor0,AssociateProfessor0,AssociateProfessor0@Department6.University0.edu,xxx-xxx-xxxx,Research8
13895,http://www.Department7.University0.edu/AssociateProfessor2,AssociateProfessor2,AssociateProfessor2@Department7.University0.edu,xxx-xxx-xxxx,Research16
15084,http://www.Department8.University0.edu/AssociateProfessor0,AssociateProfessor0,AssociateProfessor0@Department8.University0.edu,xxx-xxx-xxxx,Research16
16259,http://www.Department9.University0.edu/AssociateProfessor1,AssociateProfessor1,AssociateProfessor1@Department9.University0.edu,xxx-xxx-xxxx,Research10
17212,http://www.Department0.University1.edu/AssociateProfessor3,AssociateProfessor3,AssociateProfessor3@Department0.University1.edu,xxx-xxx-xxxx,Research27
