1745,http://www.Department1.University0.edu/Lecturer4,Lecturer4,Lecturer4@Department1.University0.edu,xxx-xxx-xxxx
4197,http://www.Department11.University0.edu/Lecturer3,Lecturer3,Lecturer3@Department11.University0.edu,xxx-xxx-xxxx
6548,http://www.Department13.University0.edu/Lecturer4,Lecturer4,Lecturer4@Department13.University0.edu,xxx-xxx-xxxx
8692,http://www.Department2.University0.edu/Lecturer5,Lecturer5,Lecturer5@Department2.University0.edu,xxx-xxx-xxxx
10833,http://www.Department4.University0.edu/Lecturer4,Lecturer4,Lecturer4@Department4.University0.edu,xxx-xxx-xxxx
13040,http://www.Department6.University0.edu/Lecturer3,Lecturer3,Lecturer3@Department6.University0.edu,xxx-xxx-xxxx
15187,http://www.Department8.University0.edu/Lecturer3,Lecturer3,Lecturer3@Department8.University0.edu,xxx-xxx-xxxx
17299,http://www.Department0.University1.edu/Lecturer2,Lecturer2,Lecturer2@Department0.University1.edu,xxx-xxx-xxxx
19444,http://www.Department10.University1.edu/Lecturer2,Lecturer2,Lecturer2@Department10.University1.edu,xxx-xxx-xxxx
21337,http://www.Department12.University1.edu/Lecturer4,Lecturer4,Lecturer4@Department12.University1.edu,xxx-xxx-xxxx
23758,http://www.Department14.University1.edu/Lecturer4,Lecturer4,Lecturer4@Department14.University1.edu,xxx-xxx-xxxx
27246,http://www.Department17.University1.edu/Lecturer0,Lecturer0,Lecturer0@Department17.University1.edu,xxx-xxx-xxxx
29370,http://www.Department2.University1.edu/Lecturer0,Lecturer0,Lecturer0@Department2.University1.edu,xxx-xxx-xxxx
30498,http://www.Department3.University1.edu/Lecturer5,Lecturer5,Lecturer5@Department3.University1.edu,xxx-xxx-xxxx
32746,http://www.Department5.University1.edu/Lecturer3,Lecturer3,Lecturer3@Department5.University1.edu,xxx-xxx-xxxx
35171,http://www.Department7.University1.edu/Lecturer1,Lecturer1,Lecturer1@Department7.University1.edu,xxx-xxx-xxxx
36364,http://www.Department8.University1.edu/Lecturer6,Lecturer6,Lecturer6@Department8.University1.edu,xxx-xxx-xxxx
39437,http://www.Department1.University2.edu/Lecturer0,Lecturer0,Lecturer0@Department1.University2.edu,xxx-xxx-xxxx
41547,http://www.Department11.University2.edu/Lecturer1,Lecturer1,Lecturer1@Department11.University2.edu,xxx-xxx-xxxx
43879,http://www.Department13.University2.edu/Lecturer0,Lecturer0,Lecturer0@Department13.University2.edu,xxx-xxx-xxxx
46047,http://www.Department15.University2.edu/Lecturer2,Lecturer2,Lecturer2@Department15.University2.edu,xxx-xxx-xxxx
47913,http://www.Department3.University2.edu/Lecturer1,Lecturer1,Lecturer1@Department3.University2.edu,xxx-xxx-xxxx
50025,http://www.Department5.University2.edu/Lecturer1,Lecturer1,Lecturer1@Department5.University2.edu,xxx-xxx-xxxx
51201,http://www.Department6.University2.edu/Lecturer6,Lecturer6,Lecturer6@Department6.University2.edu,xxx-xxx-xxxx
54639,http://www.Department9.University2.edu/Lecturer1,Lecturer1,Lecturer1@Department9.University2.edu,xxx-xxx-xxxx
56885,http://www.Department1.University3.edu/Lecturer1,Lecturer1,Lecturer1@Department1.University3.edu,xxx-xxx-xxxx
58942,http://www.Department11.University3.edu/Lecturer0,Lecturer0,Lecturer0@Department11.University3.edu,xxx-xxx-xxxx
60163,http://www.Department12.University3.edu/Lecturer5,Lecturer5,Lecturer5@Department12.University3.edu,xxx-xxx-xxxx
62539,http://www.Department14.University3.edu/Lecturer4,Lecturer4,Lecturer4@Department14.University3.edu,xxx-xxx-xxxx
64409,http://www.Department16.University3.edu/Lecturer4,Lecturer4,Lecturer4@Department16.University3.edu,xxx-xxx-xxxx
66780,http://www.Department18.University3.edu/Lecturer3,Lecturer3,Lecturer3@Department18.University3.edu,xxx-xxx-xxxx
68858,http://www.Department2.University3.edu/Lecturer4,Lecturer4,Lecturer4@Department2.University3.edu,xxx-xxx-xxxx
70791,http://www.Department3.University3.edu/Lecturer5,Lecturer5,Lecturer5@Department3.University3.edu,xxx-xxx-xxxx
